user_id,shop_id,wifi_strong1,wifi_strong2,wifi_strong3
1,4.93785,4.934135017,4.65601069,4.593149655
2,4.85632,4.866257561,4.627543626,4.611150533
3,4.83099,4.781251997,4.552873945,4.454396725
4,4.80723,4.807088521,4.551913799,4.417943384
5,4.77173,4.78282655,4.447264594,4.46622354
6,4.76087,4.762259565,4.550787873,4.46064869
7,4.73288,4.623201784,4.531971733,4.443708331
8,4.7037,4.68407238,4.384795761,4.383662015
9,4.69832,4.71562668,4.706234456,4.626569217
10,4.6963,4.708296666,4.522527272,4.540566977
11,4.68571,4.693348978,4.302749194,4.358587113
12,4.68571,4.679799346,4.375353646,4.409329913
13,4.66917,4.67616868,4.519570428,4.422941173
14,4.66316,4.624029906,4.428964032,4.408084973
15,4.65306,4.649533692,4.455459722,4.438898702
16,4.63218,4.633002628,4.597047247,4.514541362
17,4.61667,4.607683606,4.366023707,4.458772758
18,4.56299,4.518402217,3.945862929,4.091792522
19,4.54397,4.41895206,4.393707044,4.399516301
20,4.54321,4.594519632,4.313160257,4.353277735
21,4.51948,4.502351597,4.569278435,4.44277429
22,4.51163,4.507118773,4.407078898,4.389928303
23,4.50813,4.507687883,4.456420732,4.445372963
24,4.49451,4.543042092,4.467905136,4.484232693
25,4.4695,4.463804776,4.380334285,4.412667755
26,4.46222,4.453372554,4.411918867,4.377083269
27,4.43777,4.430766103,4.165750511,4.207581961
28,4.42857,4.474519658,4.287846022,4.314064184
29,4.42231,4.435699588,4.209500327,4.404806681
30,4.39308,4.3819371,4.364510128,4.359395141
31,4.38889,4.370587728,4.190469332,4.275272798
32,4.3881,4.390430018,4.158807449,4.138374617
33,4.37838,4.36906464,4.11441076,4.297635333
34,4.3591,4.348600963,4.346498736,4.413421427
35,4.34434,4.349329175,4.202162402,4.334036174
36,4.31104,4.288196166,4.130149321,4.156122748
37,4.30056,4.327577972,4.202053452,4.35386212
38,4.28594,4.283752593,4.518218466,4.435673219
39,4.24891,4.273199576,4.32930688,4.384412676
40,4.2069,4.198195958,4.321721166,4.305581021
41,4.19718,4.191923006,4.386033002,4.418743794
42,4.12821,4.155811223,4.335186823,4.330630043
43,4.12397,4.121809746,4.362836332,4.397185478
44,4.12076,4.120058679,4.131623144,4.151601552
45,4.12016,4.104623689,4.119704479,4.182833366
46,4.11187,4.12770836,4.25949833,4.468061674
47,4.10753,4.127929509,4.103004301,4.154169319
48,4.10526,4.09411696,4.170766069,4.319921051
49,4.08911,4.138940617,4.233541952,4.24553358
50,4.08824,4.069078277,4.184870001,4.308087627
51,4.0875,4.080677183,4.147016427,4.09226717
52,4.07302,4.049582749,4.3007535,4.345596376
53,4.06499,4.05910171,4.193218707,4.259099293
54,4.04211,4.035552077,3.76756708,3.874018078
55,4.04032,4.039306455,4.045956549,4.209677775
56,4.03614,4.037307887,4.202772308,4.184366969
57,4.03478,4.036483092,4.135475196,4.106636745
58,4.00382,4.006873236,4.333579423,4.334499406
59,3.96875,3.971591307,4.203875769,4.255569903
60,3.96835,3.984413077,3.947962118,4.15543803
61,3.94444,4.009326375,4.316720843,4.343095368
62,3.94253,3.968348646,4.279827578,4.286877134
63,3.93923,3.975331461,4.455457554,4.418208328
64,3.93056,3.927384307,3.782920666,3.494461198
65,3.92632,4.003429873,4.565117584,4.429809002
66,3.89189,3.869567361,4.242266673,4.299954936
67,3.87296,3.856954756,4.198385358,4.26268347
68,3.82578,3.781351108,4.338465578,4.372577286
69,3.79237,3.774839575,3.794600533,4.001963225
70,0,0.008582438,0.2125,-0.002129613
71,0.0172,0.015023384,0.2125,0.014378943
72,0.0199,0.014465491,0.2125,0.004756238
73,0,0.00302639,0.05,0.000173226
74,0.021,0.017631733,0.15,0.009596445
75,0.0242,0.015578503,0.2625,0.005683817
76,0.0156,0.006097443,0.2125,0.002122757
77,0.0207,0.019282755,0.05,0.008893122
78,0.0127,0.011429889,0.05,0.00113475
79,0.0163,0.005976474,0.15,-0.001306941
80,0.0227,0.01956018,0.2625,0.021643483
81,0.0195,0.012821557,0.05,0.038930719
82,0,0.004063179,0.2125,0.001657306
83,0,0.007411041,0.05,0.000165993
84,0,0.005808756,0.05,0.000923
85,0.0223,0.019540269,0.05,0.006188104
86,0.0218,0.01441086,0.05,0.004067703
87,0.0122,0.003848882,0.2125,0.001622033
88,0.0168,0.007810874,0.05,0.000649836
89,0.0206,0.016610932,0.05,0.002510066
90,0.0137,0.004775169,0.05,0.000636996
91,0.0201,0.010559519,0.2125,0.007253801
92,0,0.000434804,0.2125,-0.002883702
93,0.0253,0.019280549,0.2625,0.012310041
94,0.014,0.011271121,0.05,-0.001492343
95,0,0.001113821,0.2125,-0.004768024
96,0.0152,0.011834727,0.2625,-0.002434942
97,0.0248,0.020551879,0.05,0.022792831
98,0.0211,0.020557209,0.05,0.010468025
99,0,0.008398858,0.2625,0.003126477
100,0,0.007741599,0.2625,0.001574298
101,0.0157,0.010675249,0.05,-0.001923263
102,0.0229,0.016233033,0.05,0.022004692
103,0.0213,0.013510847,0.05,0.026965813
104,0.0126,0.00547603,0.2625,0.001331333
105,0.0235,0.009472115,0.05,0.449808916
106,0.0195,0.017854948,0.05,0.01183933
107,0.0241,0.016553951,0.2125,0.007099045
108,0.0234,0.019934994,0.05,0.00301227
109,0.0246,0.018639845,0.2125,0.017391843
110,0.0211,0.016491744,0.2625,0.006160576
