"001","002","003"
"-8.88846462","57.00142503562589","121.39168979224482"
"-6.95000308","57.00142503562589","118.72623850596266"
"-4.68846462","57.00142503562589","117.03004230105755"
"-4.04231077","57.00142503562589","113.63764981624541"
"-3.07308","57.00142503562589","115.57615975399386"
"-2.10384923","57.00142503562589","113.15302227555689"
"2.74230462","57.00142503562589","113.63764981624541"
"5.00384308","57.00142503562589","115.57615975399386"
"25.785","57.00142503562589","114.48548713717842"
"20.48076615","57.00142503562589","113.15302227555689"
"23.41922769","57.00142503562589","114.36459101477537"
"30.84999692","57.00142503562589","114.60690482262056"
"29.88076615","57.00142503562589","117.99929730743268"
"27.94230462","57.00142503562589","119.4531797794945"
"30.84999692","57.00142503562589","119.69549351233782"
"33.75768923","57.00142503562589","119.4531797794945"
"31.49615077","57.00142503562589","121.39168979224482"
"27.94230462","57.00142503562589","121.87631733293333"
"30.20384308","57.00142503562589","123.33019980499512"
"33.43461231","57.00142503562589","124.54176854421361"
"36.9884585","57.00142503562589","125.26870981774546"
"39.8961508","57.00142503562589","125.02639608490212"
"43.4499969","57.00142503562589","124.54176854421361"
"45.7115354","57.00142503562589","123.81482727068177"
"47.9730738","57.00142503562589","123.33019980499512"
"46.6807662","57.00142503562589","125.26870981774546"
"44.4192277","57.00142503562589","125.99565101627542"
"46.3576892","57.00142503562589","126.96490602265057"
"49.2653815","57.00142503562589","128.41878856971425"
"50.8807662","57.00142503562589","130.1149847746194"
"50.8807662","57.00142503562589","132.5381223280582"
"47.9730738","57.00142503562589","131.32655358883972"
"46.0346123","57.00142503562589","130.35729858246455"
"43.7730738","57.00142503562589","129.63035730893273"
"39.8961508","57.00142503562589","128.41878856971425"
"36.9884585","57.00142503562589","127.44953356333909"
"34.08076615","57.00142503562589","127.69184729618242"
"31.49615077","57.00142503562589","126.69951481287032"
"27.94230462","57.00142503562589","127.20721983049577"
"32.14230462","57.00142503562589","128.66110230255757"
"26.64999692","57.00142503562589","130.5996123153079"
"27.61922769","57.00142503562589","132.29580852021303"
"31.17307385","57.00142503562589","133.26506352658816"
"31.75768923","57.00142503562589","131.0150072751819"
"37.3115354","57.00142503562589","132.78043606090154"
"33.43461231","57.00142503562589","133.99200480012001"
"36.0192277","57.00142503562589","134.96125980649515"
"38.6038431","57.00142503562589","135.68820108002703"
"40.8653815","57.00142503562589","136.41514227855697"
"42.4807662","57.00142503562589","138.11133855846398"
"40.2192277","57.00142503562589","139.32290729768246"
"36.0192277","57.00142503562589","137.86902482562064"
"32.46538154","57.00142503562589","136.8997698192455"
"30.52692","57.00142503562589","135.93051481287034"
"26.64999692","57.00142503562589","134.71894607365186"
"22.12692","57.00142503562589","133.74969106727667"
"19.21922769","57.00142503562589","133.74969106727667"
"14.69615077","57.00142503562589","133.50737733443336"
"11.78845846","57.00142503562589","132.0534947873697"
"10.17307385","57.00142503562589","130.35729858246455"
"7.58845846","57.00142503562589","128.17647483687094"
"5.64999692","57.00142503562589","127.20721983049577"
"2.74230462","57.00142503562589","126.2379648241206"
"0.15768923","57.00142503562589","126.2379648241206"
"-4.68846462","57.00142503562589","125.75333728343209"
"-7.59615692","57.00142503562589","125.99565101627542"
"-9.85769538","57.00142503562589","125.26870981774546"
"-10.82692615","57.00142503562589","121.39168979224482"
"13.40384308","57.00142503562589","122.84557226430661"
"21.48076615","57.00142503562589","123.33019980499512"
"17.28076615","57.00142503562589","125.99565101627542"
"17.60384308","57.00142503562589","120.42243478586964"
"14.37307385","57.00142503562589","125.02639608490212"
"20.51153538","57.00142503562589","121.39168979224482"
"21.83461231","57.00142503562589","126.04180604515113"
"15.01922769","57.00142503562589","121.1493760594015"
"17.60384308","57.00142503562589","123.57251353783846"
"28.315","57.00142503562589","114.5462386559664"
"5","57.00142503562589","113.77784444611115"
"3","57.00142503562589","111.07777694442362"
"0.6","57.00142503562589","108.22770569264233"
"-3.2","57.00142503562589","106.4276606915173"
"-5.6","57.00142503562589","104.62761569039226"
"-8.2","57.00142503562589","102.67756693917349"
"-12.8","57.00142503562589","100.12750318757969"
"-14.4","57.00142503562589","97.12742818570464"
"-15.6","57.00142503562589","93.07732693317332"
"-16","57.00142503562589","87.67719192979825"
"-16.6","57.00142503562589","84.82712067801695"
"-15","57.00142503562589","80.77701942548565"
"-11.6","57.00142503562589","77.32693317332934"
"-8","57.00142503562589","74.77686942173555"
"-3.6","57.00142503562589","72.52681317032926"
"0.8","57.00142503562589","71.32678316957924"
"6.6","57.00142503562589","70.27675691892298"
"10.8","57.00142503562589","69.52673816845422"
"15.2","57.00142503562589","70.42676066901673"
"20","57.00142503562589","70.57676441911048"
"26.4","57.00142503562589","71.32678316957924"
"27.6","57.00142503562589","73.72684317107928"
"27.6","57.00142503562589","75.82689567239181"
"30","57.00142503562589","77.47693692342308"
"89.6","57.00142503562589","105.82764569114228"
"35","57.00142503562589","84.3771094277357"
"37.2","57.00142503562589","87.37718442961075"
"38.4","57.00142503562589","88.57721443036075"
"40.2","57.00142503562589","92.62731568289207"
"91.8","57.00142503562589","105.22763069076728"
"45.8","57.00142503562589","97.72744318607967"
"48.8","57.00142503562589","99.22748068701719"
"54.6","57.00142503562589","99.67749193729844"
"57","57.00142503562589","99.52748818720468"
"64.2","57.00142503562589","100.12750318757969"
"68.4","57.00142503562589","97.27743193579839"
"71.6","57.00142503562589","95.77739443486088"
"78.4","57.00142503562589","94.1273531838296"
"85.2","57.00142503562589","93.37733443336084"
"90.6","57.00142503562589","92.92732318307958"
"97","57.00142503562589","91.12727818195455"
"102.3","57.00142503562589","92.32730818270457"
