"16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","41","42","43","44","47","48","49","50","51","52","57","58","62","63","64","65","66","67","72","73","74","75","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299"
"128.06","123.28","131.12","126.46","134.24","129.69","137.4","132.96","140.6","136.26","127.1","130.25","133.45","136.69","139.96","128.63","123.87","132.23","127.62","135.86","131.37","124.3","127.97","131.65","135.35","128.27","123.5","131.53","126.89","134.83","130.31","127.42","130.77","127.06","122.25","129.17","124.44","131.37","126.72","123.49","125.6","127.8","130.08","125.32","120.44","125.73","120.86","126.26","121.41","126.91","122.09","127.69","122.9","122.95","123.43","124.03","124.76","125.61","139.32","134.94","141.81","137.51","143.84","139.61","141.59","143.08","140.39","141.89","138.45","139.98","140.17","141.68","138.24","139.76","137","138.54","138.47","128.58","123.83","126.55","127.25","125.21","125.91","123.03","123.74","124.96","125.66","122.79","123.5","121.39","122.11","122.55","124.89","119.99","121.17","116.11"
"126.36","121.91","129.46","125.13","132.62","128.39","135.81","131.69","139.05","135.03","125.59","128.77","132","135.27","138.58","126.94","122.51","130.59","126.29","134.26","130.09","122.75","126.46","130.18","133.93","126.57","122.13","129.88","125.55","133.22","129.01","125.9","129.29","125.35","120.87","127.49","123.08","129.72","125.39","121.93","124.06","126.29","128.6","123.59","119.04","124","119.46","124.53","120.02","125.2","120.71","125.98","121.52","121.38","121.86","122.47","123.21","124.08","137.76","133.69","140.27","136.28","142.33","138.4","140.17","141.68","138.93","140.45","137","138.54","138.85","140.37","136.93","138.47","135.65","137.2","137.08","126.89","122.46","124.96","125.66","123.57","124.28","121.39","122.11","123.48","124.19","121.31","122.03","119.87","120.6","120.97","123.15","118.59","119.37","114.66"
"124.77","120.66","127.91","123.91","131.1","127.2","134.33","130.53","137.61","133.9","124.18","127.4","130.66","133.97","137.31","125.35","121.26","129.05","125.08","132.76","128.91","121.3","125.06","128.83","132.61","124.98","120.88","128.33","124.34","131.71","127.83","124.5","127.92","123.74","119.6","125.91","121.84","128.17","124.17","120.48","122.63","124.88","127.22","121.96","117.75","122.37","118.18","122.92","118.75","123.59","119.44","124.39","120.27","119.92","120.41","121.03","121.78","122.65","136.3","132.55","138.84","135.16","140.92","137.3","138.85","140.37","137.57","139.1","135.65","137.2","137.64","139.17","135.73","137.28","134.4","135.97","135.79","125.31","121.22","123.48","124.19","122.04","122.75","119.87","120.6","122.12","122.83","119.95","120.68","118.46","119.19","119.51","121.52","117.3","117.69","113.32"
"123.28","119.53","126.46","122.8","129.69","126.12","132.96","129.48","136.26","132.88","122.88","126.13","129.43","132.77","136.14","123.87","120.14","127.62","123.99","131.37","127.85","119.98","123.77","127.58","131.4","123.5","119.75","126.89","123.24","130.31","126.76","123.21","126.66","122.25","118.46","124.44","120.72","126.72","123.07","119.14","121.32","123.6","125.96","120.44","116.59","120.86","117.03","121.41","117.6","122.09","118.3","122.9","119.13","118.58","119.07","119.7","120.45","121.34","134.94","131.52","137.51","134.15","139.61","136.3","137.64","139.17","136.31","137.86","134.4","135.97","136.53","138.08","134.63","136.2","133.27","134.85","134.6","123.83","120.09","122.12","122.83","120.62","121.34","118.46","119.19","120.86","121.59","118.71","119.45","117.17","117.91","118.16","119.99","116.13","116.11","112.12"
"121.91","118.52","125.13","121.82","128.39","125.17","131.69","128.55","135.03","131.97","121.7","124.99","128.31","131.68","135.08","122.51","119.13","126.29","123.02","130.09","126.91","118.77","122.6","126.44","130.3","122.13","118.74","125.55","122.26","129.01","125.81","122.03","125.52","120.87","117.44","123.08","119.72","125.39","122.09","117.93","120.13","122.43","124.81","119.04","115.56","119.46","116","120.02","116.57","120.71","117.28","121.52","118.12","117.36","117.86","118.49","119.25","120.14","133.69","130.6","136.28","133.26","138.4","135.42","136.53","138.08","135.16","136.73","133.27","134.85","135.53","137.09","133.65","135.23","132.24","133.84","133.53","122.46","119.09","120.86","121.59","119.32","120.05","117.17","117.91","119.73","120.46","117.6","118.34","116","116.75","116.93","118.59","115.09","114.66","111.04"
"120.66","117.64","123.91","120.97","127.2","124.34","130.53","127.74","133.9","131.18","120.65","123.96","127.31","130.7","134.12","121.26","118.26","125.08","122.17","128.91","126.09","117.69","121.55","125.43","129.31","120.88","117.86","124.34","121.41","127.83","124.98","120.98","124.5","119.6","116.55","121.84","118.85","124.17","121.24","116.83","119.06","121.38","123.78","117.75","114.65","118.18","115.1","118.75","115.68","119.44","116.39","120.27","117.23","116.26","116.76","117.4","118.17","119.07","132.55","129.8","135.16","132.47","137.3","134.65","135.53","137.09","134.12","135.7","132.24","133.84","134.64","136.21","132.78","134.37","131.33","132.94","132.57","121.22","118.21","119.73","120.46","118.14","118.88","116","116.75","118.73","119.46","116.61","117.36","114.96","115.72","115.83","117.3","114.19","113.32","110.1"
"119.53","116.89","122.8","120.24","126.12","123.63","129.48","127.05","132.88","130.51","119.71","123.05","126.43","129.84","133.29","120.14","117.51","123.99","121.45","127.85","125.39","116.73","120.63","124.53","128.44","119.75","117.12","123.24","120.68","126.76","124.27","120.05","123.6","118.46","115.8","120.72","118.11","123.07","120.51","115.87","118.12","120.45","122.87","116.59","113.88","117.03","114.33","117.6","114.91","118.3","115.63","119.13","116.48","115.29","115.8","116.45","117.22","118.13","131.52","129.12","134.15","131.81","136.3","133.99","134.64","136.21","133.2","134.78","131.33","132.94","133.87","135.44","132.02","133.62","130.54","132.16","131.72","120.09","117.46","118.73","119.46","117.09","117.83","114.96","115.72","117.85","118.59","115.75","116.5","114.05","114.82","114.86","116.13","113.41","112.12","109.3"
"118.52","116.27","121.82","119.64","125.17","123.04","128.55","126.48","131.97","129.95","118.91","122.27","125.67","129.1","132.56","119.13","116.9","123.02","120.85","126.91","124.81","115.91","119.83","123.76","127.69","118.74","116.5","122.26","120.08","125.81","123.69","119.25","122.82","117.44","115.17","119.72","117.5","122.09","119.91","115.04","117.3","119.65","122.09","115.56","113.25","116","113.7","116.57","114.28","117.28","115.01","118.12","115.86","114.46","114.97","115.62","116.4","117.31","130.6","128.57","133.26","131.26","135.42","133.46","133.87","135.44","132.38","133.98","130.54","132.16","133.21","134.79","131.38","132.99","129.86","131.49","130.99","119.09","116.85","117.85","118.59","116.16","116.91","114.05","114.82","117.1","117.84","115.02","115.78","113.28","114.05","114.02","115.09","112.78","111.04","108.64"
"117.64","115.79","120.97","119.17","124.34","122.59","127.74","126.04","131.18","129.52","118.24","121.61","125.03","128.48","131.96","118.26","116.42","122.17","120.39","126.09","124.36","115.21","119.16","123.11","127.06","117.86","116.02","121.41","119.62","124.98","123.24","118.57","122.16","116.55","114.69","118.85","117.02","121.24","119.44","114.34","116.62","118.98","121.43","114.65","112.75","115.1","113.2","115.68","113.79","116.39","114.52","117.23","115.38","113.76","114.27","114.92","115.71","116.63","129.8","128.13","132.47","130.83","134.65","133.04","133.21","134.79","131.69","133.29","129.86","131.49","132.67","134.26","130.86","132.48","129.31","130.94","130.38","118.21","116.37","117.1","117.84","115.37","116.12","113.28","114.05","116.48","117.23","114.43","115.19","112.64","113.42","113.32","114.19","112.28","110.1","108.12"
