139.51 	135.14 	143.18 	138.92 	139.07 	142.81 	138.17 	133.76 	141.55 	137.24 	134.15 	137.56 	141.01 	133.65 	129.09 	136.02 	131.53 	132.45 	134.89 	145.38 	141.19 	146.40 	142.24 	146.86 	142.72 	144.75 	146.03 	143.45 	144.74 	141.43 	142.74 	143.36 	144.66 	141.35 	142.66 	140.01 	141.33 	141.36 	146.78 	142.63 	146.14 	141.97 	144.96 	140.76 	142.94 	143.99 	141.58 	142.64 	139.49 	140.56 	141.54 	142.59 	139.45 	140.52 	138.04 	139.13 	139.28 	143.26 	139.00 	141.07 	136.75 	138.45 	134.05 	136.47 	137.31 	135.10 	135.94 	132.95 	133.80 	135.00 	135.84 	132.86 	133.71 	131.43 	132.30 	132.60 	135.45 	130.94 	132.13 	127.51 
137.95 	133.89 	141.66 	137.71 	137.69 	141.46 	136.60 	132.50 	140.01 	136.01 	132.71 	136.16 	139.64 	132.03 	127.78 	134.42 	130.25 	130.99 	133.46 	143.89 	140.00 	144.91 	141.05 	145.39 	141.54 	143.36 	144.66 	142.02 	143.33 	140.01 	141.33 	142.07 	143.38 	140.07 	141.39 	138.69 	140.02 	140.00 	145.30 	141.45 	144.65 	140.78 	143.46 	139.56 	141.54 	142.59 	140.13 	141.20 	138.04 	139.13 	140.23 	141.29 	138.15 	139.23 	136.70 	137.80 	137.90 	141.74 	137.79 	139.53 	135.52 	136.88 	132.79 	135.00 	135.84 	133.58 	134.43 	131.43 	132.30 	133.63 	134.48 	131.50 	132.36 	130.03 	130.90 	131.14 	133.84 	129.65 	130.49 	126.19 
136.50 	132.75 	140.24 	136.60 	136.40 	140.21 	135.13 	131.35 	138.58 	134.89 	131.38 	134.86 	138.38 	130.50 	126.58 	132.92 	129.07 	129.64 	132.13 	142.49 	138.91 	143.53 	139.97 	144.00 	140.46 	142.07 	143.38 	140.69 	142.01 	138.69 	140.02 	140.89 	142.20 	138.89 	140.22 	137.47 	138.82 	138.73 	143.91 	140.37 	143.26 	139.70 	142.06 	138.46 	140.23 	141.29 	138.78 	139.86 	136.70 	137.80 	139.03 	140.10 	136.96 	138.05 	135.47 	136.57 	136.62 	140.32 	136.68 	138.09 	134.39 	135.41 	131.64 	133.63 	134.48 	132.16 	133.02 	130.03 	130.90 	132.37 	133.23 	130.24 	131.11 	128.73 	129.61 	129.79 	132.34 	128.48 	128.95 	124.98 
135.14 	131.72 	138.92 	135.60 	135.22 	139.06 	133.76 	130.31 	137.24 	133.88 	130.15 	133.67 	137.22 	129.09 	125.50 	131.53 	128.02 	128.40 	130.91 	141.19 	137.93 	142.24 	139.00 	142.72 	139.49 	140.89 	142.20 	139.47 	140.79 	137.47 	138.82 	139.80 	141.13 	137.82 	139.17 	136.36 	137.72 	137.57 	142.63 	139.40 	141.97 	138.72 	140.76 	137.48 	139.03 	140.10 	137.54 	138.63 	135.47 	136.57 	137.93 	139.01 	135.87 	136.97 	134.34 	135.46 	135.44 	139.00 	135.68 	136.75 	133.38 	134.05 	130.60 	132.37 	133.23 	130.86 	131.72 	128.73 	129.61 	131.21 	132.08 	129.10 	129.98 	127.54 	128.43 	128.56 	130.94 	127.41 	127.51 	123.88 
133.89 	130.81 	137.71 	134.71 	134.16 	138.02 	132.50 	129.38 	136.01 	132.98 	129.04 	132.59 	136.16 	127.78 	124.54 	130.25 	127.08 	127.27 	129.81 	140.00 	137.05 	141.05 	138.13 	141.54 	138.63 	139.80 	141.13 	138.34 	139.68 	136.36 	137.72 	138.83 	140.16 	136.86 	138.21 	135.36 	136.73 	136.52 	141.45 	138.53 	140.78 	137.85 	139.56 	136.60 	137.93 	139.01 	136.40 	137.50 	134.34 	135.46 	136.94 	138.03 	134.90 	136.00 	133.33 	134.45 	134.37 	137.79 	134.80 	135.52 	132.48 	132.79 	129.68 	131.21 	132.08 	129.66 	130.53 	127.54 	128.43 	130.17 	131.05 	128.07 	128.96 	126.47 	127.37 	127.43 	129.65 	126.47 	126.19 	122.91 
132.75 	130.01 	136.60 	133.94 	133.20 	137.09 	131.35 	128.58 	134.89 	132.20 	128.05 	131.62 	135.22 	126.58 	123.71 	129.07 	126.25 	126.26 	128.82 	138.91 	136.29 	139.97 	137.37 	140.46 	137.87 	138.83 	140.16 	137.33 	138.68 	135.36 	136.73 	137.96 	139.30 	136.01 	137.37 	134.47 	135.85 	135.58 	140.37 	137.78 	139.70 	137.10 	138.46 	135.84 	136.94 	138.03 	135.37 	136.47 	133.33 	134.45 	136.06 	137.16 	134.03 	135.15 	132.42 	133.55 	133.42 	136.68 	134.02 	134.39 	131.69 	131.64 	128.88 	130.17 	131.05 	128.57 	129.46 	126.47 	127.37 	129.25 	130.13 	127.17 	128.06 	125.52 	126.42 	126.42 	128.48 	125.64 	124.98 	122.06 
131.72 	129.33 	135.60 	133.28 	132.35 	136.27 	130.31 	127.89 	133.88 	131.53 	127.17 	130.77 	134.39 	125.50 	122.99 	128.02 	125.56 	125.37 	127.95 	137.93 	135.65 	139.00 	136.73 	139.49 	137.23 	137.96 	139.30 	136.42 	137.78 	134.47 	135.85 	137.20 	138.55 	135.27 	136.64 	133.70 	135.08 	134.75 	139.40 	137.14 	138.72 	136.45 	137.48 	135.19 	136.06 	137.16 	134.45 	135.56 	132.42 	133.55 	135.29 	136.40 	133.29 	134.41 	131.64 	132.77 	132.57 	135.68 	133.37 	133.38 	131.02 	130.60 	128.19 	129.25 	130.13 	127.60 	128.50 	125.52 	126.42 	128.44 	129.33 	126.38 	127.28 	124.69 	125.60 	125.53 	127.41 	124.94 	123.88 	121.34 
130.81 	128.78 	134.71 	132.74 	131.63 	135.57 	129.38 	127.33 	132.98 	130.98 	126.41 	130.03 	133.67 	124.54 	122.41 	127.08 	124.98 	124.60 	127.19 	137.05 	135.11 	138.13 	136.20 	138.63 	136.71 	137.20 	138.55 	135.63 	136.99 	133.70 	135.08 	136.56 	137.92 	134.65 	136.03 	133.04 	134.43 	134.04 	138.53 	136.61 	137.85 	135.93 	136.60 	134.66 	135.29 	136.40 	133.65 	134.76 	131.64 	132.77 	134.64 	135.75 	132.65 	133.78 	130.97 	132.11 	131.85 	134.80 	132.82 	132.48 	130.47 	129.68 	127.63 	128.44 	129.33 	126.76 	127.65 	124.69 	125.60 	127.75 	128.64 	125.71 	126.61 	123.98 	124.90 	124.77 	126.47 	124.36 	122.91 	120.74 
130.01 	128.34 	133.94 	132.32 	131.02 	134.98 	128.58 	126.89 	132.20 	130.55 	125.78 	129.41 	133.07 	123.71 	121.95 	126.25 	124.53 	123.96 	126.56 	136.29 	134.70 	137.37 	135.79 	137.87 	136.30 	136.56 	137.92 	134.95 	136.32 	133.04 	134.43 	136.03 	137.39 	134.15 	135.53 	132.49 	133.89 	133.44 	137.78 	136.20 	137.10 	135.51 	135.84 	134.24 	134.64 	135.75 	132.96 	134.08 	130.97 	132.11 	134.11 	135.22 	132.14 	133.27 	130.42 	131.56 	131.24 	134.02 	132.40 	131.69 	130.04 	128.88 	127.19 	127.75 	128.64 	126.03 	126.93 	123.98 	124.90 	127.19 	128.08 	125.17 	126.08 	123.40 	124.32 	124.12 	125.64 	123.91 	122.06 	120.28 
129.33 	128.03 	133.28 	132.02 	130.53 	134.50 	127.89 	126.57 	131.53 	130.25 	125.27 	128.92 	132.59 	122.99 	121.62 	125.56 	124.21 	123.44 	126.06 	135.65 	134.40 	136.73 	135.50 	137.23 	136.00 	136.03 	137.39 	134.38 	135.76 	132.49 	133.89 	135.62 	136.99 	133.76 	135.14 	132.07 	133.47 	132.96 	137.14 	135.91 	136.45 	135.22 	135.19 	133.94 	134.11 	135.22 	132.38 	133.51 	130.42 	131.56 	133.69 	134.80 	131.75 	132.88 	129.99 	131.13 	130.75 	133.37 	132.10 	131.02 	129.73 	128.19 	126.87 	127.19 	128.08 	125.42 	126.33 	123.40 	124.32 	126.75 	127.64 	124.75 	125.66 	122.94 	123.87 	123.61 	124.94 	123.59 	121.34 	119.95 
