"37","38","39","40","45","46","53","54","55","56","59","60","61","68","69","70","71","76","77","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280"
"139.51","135.14","143.18","138.92","139.07","142.81","138.17","133.76","141.55","137.24","134.15","137.56","141.01","133.65","129.09","136.02","131.53","132.45","134.89","145.38","141.19","146.4","142.24","146.86","142.72","144.75","146.03","143.45","144.74","141.43","142.74","143.36","144.66","141.35","142.66","140.01","141.33","141.36","146.78","142.63","146.14","141.97","144.96","140.76","142.94","143.99","141.58","142.64","139.49","140.56","141.54","142.59","139.45","140.52","138.04","139.13","139.28","143.26","139","141.07","136.75","138.45","134.05","136.47","137.31","135.1","135.94","132.95","133.8","135","135.84","132.86","133.71","131.43","132.3","132.6","135.45","130.94","132.13","127.51"
"137.95","133.89","141.66","137.71","137.69","141.46","136.6","132.5","140.01","136.01","132.71","136.16","139.64","132.03","127.78","134.42","130.25","130.99","133.46","143.89","140","144.91","141.05","145.39","141.54","143.36","144.66","142.02","143.33","140.01","141.33","142.07","143.38","140.07","141.39","138.69","140.02","140","145.3","141.45","144.65","140.78","143.46","139.56","141.54","142.59","140.13","141.2","138.04","139.13","140.23","141.29","138.15","139.23","136.7","137.8","137.9","141.74","137.79","139.53","135.52","136.88","132.79","135","135.84","133.58","134.43","131.43","132.3","133.63","134.48","131.5","132.36","130.03","130.9","131.14","133.84","129.65","130.49","126.19"
"136.5","132.75","140.24","136.6","136.4","140.21","135.13","131.35","138.58","134.89","131.38","134.86","138.38","130.5","126.58","132.92","129.07","129.64","132.13","142.49","138.91","143.53","139.97","144","140.46","142.07","143.38","140.69","142.01","138.69","140.02","140.89","142.2","138.89","140.22","137.47","138.82","138.73","143.91","140.37","143.26","139.7","142.06","138.46","140.23","141.29","138.78","139.86","136.7","137.8","139.03","140.1","136.96","138.05","135.47","136.57","136.62","140.32","136.68","138.09","134.39","135.41","131.64","133.63","134.48","132.16","133.02","130.03","130.9","132.37","133.23","130.24","131.11","128.73","129.61","129.79","132.34","128.48","128.95","124.98"
"135.14","131.72","138.92","135.6","135.22","139.06","133.76","130.31","137.24","133.88","130.15","133.67","137.22","129.09","125.5","131.53","128.02","128.4","130.91","141.19","137.93","142.24","139","142.72","139.49","140.89","142.2","139.47","140.79","137.47","138.82","139.8","141.13","137.82","139.17","136.36","137.72","137.57","142.63","139.4","141.97","138.72","140.76","137.48","139.03","140.1","137.54","138.63","135.47","136.57","137.93","139.01","135.87","136.97","134.34","135.46","135.44","139","135.68","136.75","133.38","134.05","130.6","132.37","133.23","130.86","131.72","128.73","129.61","131.21","132.08","129.1","129.98","127.54","128.43","128.56","130.94","127.41","127.51","123.88"
"133.89","130.81","137.71","134.71","134.16","138.02","132.5","129.38","136.01","132.98","129.04","132.59","136.16","127.78","124.54","130.25","127.08","127.27","129.81","140","137.05","141.05","138.13","141.54","138.63","139.8","141.13","138.34","139.68","136.36","137.72","138.83","140.16","136.86","138.21","135.36","136.73","136.52","141.45","138.53","140.78","137.85","139.56","136.6","137.93","139.01","136.4","137.5","134.34","135.46","136.94","138.03","134.9","136","133.33","134.45","134.37","137.79","134.8","135.52","132.48","132.79","129.68","131.21","132.08","129.66","130.53","127.54","128.43","130.17","131.05","128.07","128.96","126.47","127.37","127.43","129.65","126.47","126.19","122.91"
"132.75","130.01","136.6","133.94","133.2","137.09","131.35","128.58","134.89","132.2","128.05","131.62","135.22","126.58","123.71","129.07","126.25","126.26","128.82","138.91","136.29","139.97","137.37","140.46","137.87","138.83","140.16","137.33","138.68","135.36","136.73","137.96","139.3","136.01","137.37","134.47","135.85","135.58","140.37","137.78","139.7","137.1","138.46","135.84","136.94","138.03","135.37","136.47","133.33","134.45","136.06","137.16","134.03","135.15","132.42","133.55","133.42","136.68","134.02","134.39","131.69","131.64","128.88","130.17","131.05","128.57","129.46","126.47","127.37","129.25","130.13","127.17","128.06","125.52","126.42","126.42","128.48","125.64","124.98","122.06"
"131.72","129.33","135.6","133.28","132.35","136.27","130.31","127.89","133.88","131.53","127.17","130.77","134.39","125.5","122.99","128.02","125.56","125.37","127.95","137.93","135.65","139","136.73","139.49","137.23","137.96","139.3","136.42","137.78","134.47","135.85","137.2","138.55","135.27","136.64","133.7","135.08","134.75","139.4","137.14","138.72","136.45","137.48","135.19","136.06","137.16","134.45","135.56","132.42","133.55","135.29","136.4","133.29","134.41","131.64","132.77","132.57","135.68","133.37","133.38","131.02","130.6","128.19","129.25","130.13","127.6","128.5","125.52","126.42","128.44","129.33","126.38","127.28","124.69","125.6","125.53","127.41","124.94","123.88","121.34"
"130.81","128.78","134.71","132.74","131.63","135.57","129.38","127.33","132.98","130.98","126.41","130.03","133.67","124.54","122.41","127.08","124.98","124.6","127.19","137.05","135.11","138.13","136.2","138.63","136.71","137.2","138.55","135.63","136.99","133.7","135.08","136.56","137.92","134.65","136.03","133.04","134.43","134.04","138.53","136.61","137.85","135.93","136.6","134.66","135.29","136.4","133.65","134.76","131.64","132.77","134.64","135.75","132.65","133.78","130.97","132.11","131.85","134.8","132.82","132.48","130.47","129.68","127.63","128.44","129.33","126.76","127.65","124.69","125.6","127.75","128.64","125.71","126.61","123.98","124.9","124.77","126.47","124.36","122.91","120.74"
"130.01","128.34","133.94","132.32","131.02","134.98","128.58","126.89","132.2","130.55","125.78","129.41","133.07","123.71","121.95","126.25","124.53","123.96","126.56","136.29","134.7","137.37","135.79","137.87","136.3","136.56","137.92","134.95","136.32","133.04","134.43","136.03","137.39","134.15","135.53","132.49","133.89","133.44","137.78","136.2","137.1","135.51","135.84","134.24","134.64","135.75","132.96","134.08","130.97","132.11","134.11","135.22","132.14","133.27","130.42","131.56","131.24","134.02","132.4","131.69","130.04","128.88","127.19","127.75","128.64","126.03","126.93","123.98","124.9","127.19","128.08","125.17","126.08","123.4","124.32","124.12","125.64","123.91","122.06","120.28"
